	Name	Value		Symbol	Name	
						
						
1	0	0		0	0	0
2	4	1082130432		0	0	0
3	29	1105723392		180	1127481344	12
4	1	1065353216		180	1127481344	12
5	0	0		180	1127481344	12
6	0	0		152	1125646336	10.13333333
7	0	0		156	1125908480	10.4
8	4	1082130432		157	1125974016	10.46666667
9	1	1065353216		161	1126236160	10.73333333
10	5	1084227584		162	1126301696	10.8
11	0	0		158	1126039552	10.53333333
12	0	0		158	1126039552	10.53333333
13	68	1116209152		182	1127612416	12.13333333
14	0	0		182	1127612416	12.13333333
15	68	1116209152		183	1127677952	12.2
16	0	0		116	1122500608	7.733333333
17	4	1082130432		116	1122500608	7.733333333
18	1	1065353216		48	1111490560	3.2
19	5	1084227584		49	1111752704	3.266666667
20	1	1065353216		45	1110704128	3
21	4	1082130432		44	1110441984	2.933333333
22	1	1065353216		47	1111228416	3.133333333
23	0	0		47	1111228416	3.133333333
24	1	1065353216		43	1110179840	2.866666667
25	29	1105723392		46	1110966272	3.066666667
26	0	0		47	1111228416	3.133333333
27	1	1065353216		47	1111228416	3.133333333
28	1	1065353216		18	1099956224	1.2
29	0	0		18	1099956224	1.2
30	0	0		17	1099431936	1.133333333
31	1	1065353216		16	1098907648	1.066666667
32	0	0		20	1101004800	1.333333333
33	0	0		40	1109393408	2.666666667
34	8	1090519040		39	1109131264	2.6
35	1	1065353216		39	1109131264	2.6
36	0	0		39	1109131264	2.6
37	4	1082130432		31	1106771968	2.066666667
38	1	1065353216		31	1106771968	2.066666667
39	1	1065353216		33	1107558400	2.2
40	0	0		49	1111752704	3.266666667
41	0	0		56	1113587712	3.733333333
42	0	0		55	1113325568	3.666666667
43	0	0		55	1113325568	3.666666667
44	4	1082130432		59	1114374144	3.933333333
45	20	1101004800		59	1114374144	3.933333333
46	0	0		60	1114636288	4
47	0	0		56	1113587712	3.733333333
48	0	0		37	1108606976	2.466666667
49	0	0		37	1108606976	2.466666667
50	1	1065353216		37	1108606976	2.466666667
51	2	1073741824		37	1108606976	2.466666667
52	20	1101004800		37	1108606976	2.466666667
53	8	1090519040		36	1108344832	2.4
54	0	0		34	1107820544	2.266666667
55	0	0		0	1128398848	0
56	4	1082130432		0	1136066560	0
57	0	0		0	1141407744	0
58	1	1065353216		0	1143898112	0
59	0	0		0	1146388480	0
60	1	1065353216		0	1148960768	0
61	0	0		0	1150410752	0
62	0	0		0	1151737856	0
63	0	0		0	1153024000	0
64	0	0		0	1154318336	0
					76	0
	0	0			3	0
	0	0			3	0
	180	1127481344			Found	0
	180	1127481344				
	180	1127481344				
	152	1125646336				
	156	1125908480				
	157	1125974016				
	161	1126236160				
	162	1126301696				
	158	1126039552				
	158	1126039552				
	182	1127612416				
	182	1127612416				
	183	1127677952				
	116	1122500608				
	116	1122500608				
	48	1111490560				
	49	1111752704				
	45	1110704128				
	44	1110441984				
	47	1111228416				
	47	1111228416				
	43	1110179840				
	46	1110966272				
	47	1111228416				
	47	1111228416				
	18	1099956224				
	18	1099956224				
	17	1099431936				
	16	1098907648				
	20	1101004800				
	40	1109393408				
	39	1109131264				
	39	1109131264				
	39	1109131264				
	31	1106771968				
	31	1106771968				
	33	1107558400				
	49	1111752704				
	56	1113587712				
	55	1113325568				
	55	1113325568				
	59	1114374144				
	59	1114374144				
	60	1114636288				
	56	1113587712				
	37	1108606976				
	37	1108606976				
	37	1108606976				
	37	1108606976				
	37	1108606976				
	36	1108344832				
	34	1107820544				
	194	1128398848				
	366	1136066560				
	546	1141407744				
	698	1143898112				
	850	1146388480				
	1007	1148960768				
	1167	1150410752				
	1329	1151737856				
	1486	1153024000				
	1644	1154318336				
	0x004C	76				
	0x0003	3				
	0x0003	3				
	Not	Found				
