 Update Address Symbol Name       Value         Decimal  

          4184 compXfilteredAbs                              
          4184 [0]                 0.0000000           0
          4188 [1]                  8.000000  1090519040
          418C [2]                  3380.000  1163083776
          4190 [3]                  9.000000  1091567616
          4194 [4]                  34.00000  1107820544
          4198 [5]                  34.00000  1107820544
          419C [6]                  5.000000  1084227584
          41A0 [7]                  41.00000  1109655552
          41A4 [8]                  8.000000  1090519040
          41A8 [9]                  40.00000  1109393408
          41AC [10]                 32.00000  1107296256
          41B0 [11]                 13.00000  1095761920
          41B4 [12]                 20.00000  1101004800
          41B8 [13]                 40.00000  1109393408
          41BC [14]                 4.000000  1082130432
          41C0 [15]                 16.00000  1098907648
          41C4 [16]                 1.000000  1065353216
          41C8 [17]                 4.000000  1082130432
          41CC [18]                 52.00000  1112539136
          41D0 [19]                 32.00000  1107296256
          41D4 [20]                 20.00000  1101004800
          41D8 [21]                 40.00000  1109393408
          41DC [22]                 8.000000  1090519040
          41E0 [23]                 49.00000  1111752704
          41E4 [24]                 20.00000  1101004800
          41E8 [25]                 37.00000  1108606976
          41EC [26]                 8.000000  1090519040
          41F0 [27]                 625.0000  1142702080
          41F4 [28]                 325.0000  1134723072
          41F8 [29]                 450.0000  1138819072
          41FC [30]                 5.000000  1084227584
          4200 [31]                 221.0000  1130168320
          4204 [32]                 4.000000  1082130432
          4208 [33]                 436.0000  1138360320
          420C [34]                 29.00000  1105723392
          4210 [35]                 41.00000  1109655552
          4214 [36]                 8.000000  1090519040
          4218 [37]                 20.00000  1101004800
          421C [38]                 8.000000  1090519040
          4220 [39]                 8.000000  1090519040
          4224 [40]                 1.000000  1065353216
          4228 [41]                 20.00000  1101004800
          422C [42]                 5.000000  1084227584
          4230 [43]                 20.00000  1101004800
          4234 [44]                 17.00000  1099431936
          4238 [45]                 13.00000  1095761920
          423C [46]                 5.000000  1084227584
          4240 [47]                 4.000000  1082130432
          4244 [48]                 3265.000  1162612736
          4248 [49]                 8.000000  1090519040
          424C [50]                 625.0000  1142702080
          4250 [51]                 1.000000  1065353216
          4254 [52]                 292.0000  1133641728
          4258 [53]                 8.000000  1090519040
          425C [54]                 36.00000  1108344832
          4260 [55]                 34.00000  1107820544
          4264 [56]                 13.00000  1095761920
          4268 [57]                 4.000000  1082130432
          426C [58]                 25.00000  1103626240
          4270 [59]                 20.00000  1101004800
          4274 [60]                 20.00000  1101004800
          4278 [61]                 1.000000  1065353216
          427C [62]                 17.00000  1099431936
          4280 [63]                 4.000000  1082130432
          1AFC x                      0x0015          21
          43FC j                      0x0002           2
          43FE i                      0x003A          58
          1AE0 peakMaskMid            0x0002           2
               averageFrame  Symbol Not Found            
          4384 peakFrequencies                              
          4384 [0]                    0x0002           2
          43C0 [1]                    0x0D34        3380
          43C0 [1,0]                  0x0D34        3380
          43C2 [1,1]                  0x0029          41
          43C4 [1,2]                  0x0028          40
          43C6 [1,3]                  0x0028          40
          43C8 [1,4]                  0x0010          16
          43CA [1,5]                  0x0034          52
          43CC [1,6]                  0x0028          40
          43CE [1,7]                  0x0031          49
          43D0 [1,8]                  0x0025          37
          43D2 [1,9]                  0x0271         625
          43D4 [1,10]                 0x01C2         450
          43D6 [1,11]                 0x00DD         221
          43D8 [1,12]                 0x01B4         436
          43DA [1,13]                 0x0029          41
          43DC [1,14]                 0x0014          20
          43DE [1,15]                 0x0014          20
          43E0 [1,16]                 0x0014          20
          43E2 [1,17]                 0x0CC1        3265
          43E4 [1,18]                 0x0271         625
          43E6 [1,19]                 0x0124         292
          43E8 [1,20]                 0x0024          36
          43EA [1,21]                 0x0000           0
          43EC [1,22]                 0x0000           0
          43EE [1,23]                 0x0000           0
          43F0 [1,24]                 0x0000           0
          43F2 [1,25]                 0x0000           0
          43F4 [1,26]                 0x0000           0
          43F6 [1,27]                 0x0000           0
          43F8 [1,28]                 0x0000           0
          43FA [1,29]                 0x0000           0
