 Update Address Symbol Name       Value         Decimal  

          4384 peakFrequencies                              
          4384 [0]                    0x0002           2
          4384 [0,0]                  0x0002           2
          4386 [0,1]                  0x0007           7
          4388 [0,2]                  0x0009           9
          438A [0,3]                  0x000D          13
          438C [0,4]                  0x000F          15
          438E [0,5]                  0x0012          18
          4390 [0,6]                  0x0015          21
          4392 [0,7]                  0x0017          23
          4394 [0,8]                  0x0019          25
          4396 [0,9]                  0x001B          27
          4398 [0,10]                 0x001D          29
          439A [0,11]                 0x001F          31
          439C [0,12]                 0x0021          33
          439E [0,13]                 0x0023          35
          43A0 [0,14]                 0x0025          37
          43A2 [0,15]                 0x0029          41
          43A4 [0,16]                 0x002B          43
          43A6 [0,17]                 0x0030          48
          43A8 [0,18]                 0x0032          50
          43AA [0,19]                 0x0034          52
          43AC [0,20]                 0x0036          54
          43AE [0,21]                 0x0000           0
          43B0 [0,22]                 0x0000           0
          43B2 [0,23]                 0x0000           0
          43B4 [0,24]                 0x0000           0
          43B6 [0,25]                 0x0000           0
          43B8 [0,26]                 0x0000           0
          43BA [0,27]                 0x0000           0
          43BC [0,28]                 0x0000           0
          43BE [0,29]                 0x0000           0
          43C0 [1]                    0x0D34        3380
          43C0 [1,0]                  0x0D34        3380
          43C2 [1,1]                  0x0029          41
          43C4 [1,2]                  0x0028          40
          43C6 [1,3]                  0x0028          40
          43C8 [1,4]                  0x0010          16
          43CA [1,5]                  0x0034          52
          43CC [1,6]                  0x0028          40
          43CE [1,7]                  0x0031          49
          43D0 [1,8]                  0x0025          37
          43D2 [1,9]                  0x0271         625
          43D4 [1,10]                 0x01C2         450
          43D6 [1,11]                 0x00DD         221
          43D8 [1,12]                 0x01B4         436
          43DA [1,13]                 0x0029          41
          43DC [1,14]                 0x0014          20
          43DE [1,15]                 0x0014          20
          43E0 [1,16]                 0x0014          20
          43E2 [1,17]                 0x0CC1        3265
          43E4 [1,18]                 0x0271         625
          43E6 [1,19]                 0x0124         292
          43E8 [1,20]                 0x0024          36
          43EA [1,21]                 0x0000           0
          43EC [1,22]                 0x0000           0
          43EE [1,23]                 0x0000           0
          43F0 [1,24]                 0x0000           0
          43F2 [1,25]                 0x0000           0
          43F4 [1,26]                 0x0000           0
          43F6 [1,27]                 0x0000           0
          43F8 [1,28]                 0x0000           0
          43FA [1,29]                 0x0000           0
